wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1242,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
2,1221,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
3,1231,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
4,1238,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
5,1229,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
6,1235,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
7,1230,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
8,1227,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
9,1228,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
10,1230,0,0,1,95A7_2019-06-17_02-50-10_000_482,SAM_8581,SPECTRUM,RAW,,,2019-06-17 02:50:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,4.95283565209907,1,-3.5,-3.5,4096,-1,0,+INF,0,1,0.125508222695042,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,36
