wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
307.94558934712,0,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
311.27333535203,0,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
314.60170164096,0,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
317.93067776125,1.08782741949195,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
321.26025326024,0.909146183989486,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
324.59041768527,0.917269751350941,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
327.92116058368,0.969885619358591,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
331.25247150281,1.00946172190586,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
334.58433999,1.16465072597265,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
337.91675559259,1.20779688712462,0,0,1,95A7_2019-06-16_14-46-20_000_366,SAM_8581,SPECTRUM,CALIBRATED,,,2019-06-16 14:46:20,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,15.8966318527645,1,2.1,-15.75,128,-1,0,+INF,0,1,0.820789020610419,65535,0,-NAN,$01 $01 Wavelength nm,$03 $06 Intensity mW/(m^2 nm),$f0 $06 Error mW/(m^2 nm),$f1 $00 Status,27
