wavelength,intensity,error,status,Version,IDData,IDDevice,IDDataType,IDDataTypeSub1,IDDataTypeSub2,IDDataTypeSub3,DateTime,PositionLatitude,PositionLongitude,Comment,CommentSub1,CommentSub2,CommentSub3,IDMethodType,MethodName,Mission,MissionSub,RecordType,CalFactor,IDBasisSpec,IDDataBack,IDDataCal,InclV,InclValid,InclX,InclY,IntegrationTime,P31,P31e,PathLength,PathLengthCustomOn,PressValid,Pressure,RAWDynamic,Salinity,Temperature,Unit1,Unit2,Unit3,Unit4,p999
1,1252,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
2,1263,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
3,1270,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
4,1300,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
5,1328,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
6,1392,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
7,1473,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
8,1554,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
9,1663,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
10,1808,0,0,1,95A7_2019-06-16_14-45-10_000_273,SAM_8581,SPECTRUM,RAW,,,2019-06-16 14:45:10,0,0,,,,,SAMIP Control,SAMIP_50DB,No Mission,1,0,1,,DLAB_2018-04-12_13-21-41_161_456,DLAB_2018-04-13_10-50-24_513_420,18.3023247146856,1,-14,-11.55,64,-1,0,+INF,0,1,0.329921930637547,65535,0,-NAN,$05 $00 Pixel,$03 $05 Intensity counts,$f0 $05 Error counts,$f1 $00 Status,20
